1232.672, 1.6862, -266.5073, 120.6254,25182.0, 558.4384, -0.1983, -5.0751, 4.8143, 6.1365, -1.4247, 5.2623, 1.6563, -1.6086, 0.4979, -0.2188, 2.2294, -1.9911, -2.3733, -0.7626, -1.1313, 4.7768, 4.7734, -1.968
1232.2666, 1.124, -266.3604, 120.6297,39832.0, 429.7598, -30.0963, -60.1182, 52.5601, 23.1675, -41.4848, -5.9446, 19.804, 24.7643, -0.2147, -1.226, 7.5287, 9.6267, 4.3973, -9.6418, 5.2072, 5.1742, -1.1407, 4.2525
1232.3198, 1.6729, -266.3583, 120.6142,39270.0, 3064.4913, 28.4097, 219.8032, 19.8369, 66.597, 24.9447, 39.603, 4.2558, 6.1379, 2.0119, -12.9368, 3.6293, -10.5812, 10.6314, -5.1154, 8.9837, -2.8507, -3.4247, -8.8965
1232.8778, 1.1941, -266.6693, 120.6337,21260.0, 1555.449, 31.6007, 107.1531, 28.4386, 27.6028, 11.4288, 0.84, 10.9208, -0.0648, 1.501, -0.634, 2.7451, -1.2378, 2.7142, 4.1914, -4.7907, 2.1622, -6.5052, 1.8362
1476.894, 2.9709, -305.1799, 136.6266,501769.0, 16647.2277, -6221.8763, -8275.626, 976.2373, -2337.5628, 1930.3367, -130.0541, -495.4746, -51.7058, -116.0878, 65.8741, 269.7646, -46.7372, -25.0815, -98.6226, 174.0904, 1.9362, 73.5328, 205.6632
1, 1, 1, 1,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1478.4233, 2.735, -306.2731, 136.6766,318423.0, -638.7168, 591.6977, -159.4003, -181.251, 106.4973, 66.1785, -19.254, -0.8107, -44.3297, -0.2974, 17.2517, 34.9484, 17.6752, -2.828, -5.5633, 10.5901, 0.6857, -4.8224, -3.7014
1491.4522, 1.3308, -311.4106, 136.7796,122968.0, 3517.3257, 7.2448, 53.0544, -63.1142, 3.5415, -32.4401, -4.1163, 2.1387, -2.2346, -4.6496, 5.401, -5.1487, 2.7735, -1.4041, -0.6913, 4.0782, 3.984, 1.3464, 1.5374
1491.2995, 1.2855, -311.2532, 136.7749,121038.0, 5012.6048, 169.1782, 207.1855, 53.7985, -136.291, -15.4308, 17.9495, -15.5514, 3.714, -19.13, -13.0432, 13.5129, -16.1274, 0.2716, -15.5608, 7.3046, -6.5481, 2.0908, 5.8476
1490.8578, 1.071, -311.0978, 136.7772,181092.0, 5595.2632, 191.6089, 282.5474, -136.0804, -347.3888, 78.2687, 55.1704, -41.3566, 54.9206, 9.3499, -2.355, 7.175, 27.3825, -4.5409, -15.119, -5.3793, 5.0224, -9.5076, -9.3307
